site_net_kwh,site_net_kvarh,kva,tariff
-5.3056662,7.665399819,37.28988028,PEAK
-1.287374564,6.490455231,26.46759298,PEAK
-1.287374564,6.490455231,26.46759298,PEAK
-4.750842718,3.145790915,22.79175535,PEAK
-4.750842718,3.145790915,22.79175535,PEAK
1.871929292,3.71699932,16.6470193,PEAK
1.871929292,3.71699932,16.6470193,PEAK
2.176749831,3.968387984,18.10473663,PEAK
2.176749831,3.968387984,18.10473663,PEAK
1.53580295,3.535988972,15.42045847,PEAK
1.53580295,3.535988972,15.42045847,PEAK
0.784795824,2.610863672,10.90505468,PEAK
0.784795824,2.610863672,10.90505468,PEAK
1.712920242,2.619857092,12.52054116,PEAK
1.712920242,2.619857092,12.52054116,PEAK
1.788020955,2.593542885,12.60062451,PEAK
1.788020955,2.593542885,12.60062451,PEAK
3.318049637,2.060434624,15.62298012,PEAK
3.318049637,2.060434624,15.62298012,PEAK
2.032502146,1.316498962,9.686472622,PEAK
2.032502146,1.316498962,9.686472622,PEAK
3.026116946,1.608617458,13.70841137,PEAK
3.026116946,1.608617458,13.70841137,PEAK
3.26467215,1.767076871,14.84891641,PEAK
3.26467215,1.767076871,14.84891641,PEAK
3.238166017,1.709646874,14.64710843,PEAK
3.238166017,1.709646874,14.64710843,PEAK
3.18073606,1.700884124,14.42780021,PEAK
3.18073606,1.700884124,14.42780021,PEAK
3.154229926,1.727316822,14.3848753,PEAK
3.154229926,1.727316822,14.3848753,PEAK
3.118888414,1.701294182,14.2109067,PEAK
3.118888414,1.701294182,14.2109067,PEAK
3.326519796,1.833350689,15.19310828,PEAK
3.326519796,1.833350689,15.19310828,PEAK
3.313266729,1.784778816,15.0535959,PEAK
3.313266729,1.784778816,15.0535959,PEAK
3.255836772,1.745013697,14.77595121,OFF-PEAK
3.255836772,1.745013697,14.77595121,OFF-PEAK
3.251419083,1.762673519,14.79391442,OFF-PEAK
3.251419083,1.762673519,14.79391442,OFF-PEAK
3.247001394,1.749405642,14.75313562,OFF-PEAK
3.247001394,1.749405642,14.75313562,OFF-PEAK
3.313266729,1.784855665,15.05374168,OFF-PEAK
3.313266729,1.784855665,15.05374168,OFF-PEAK
3.295595973,1.833504193,15.08519298,OFF-PEAK
3.295595973,1.833504193,15.08519298,OFF-PEAK
2.412058179,1.185861553,10.75121744,OFF-PEAK
2.412058179,1.185861553,10.75121744,OFF-PEAK
0.949803129,0.326645021,4.017607155,OFF-PEAK
0.949803129,0.326645021,4.017607155,OFF-PEAK
0.181125248,0.008839774,0.725363324,OFF-PEAK
0.181125248,0.008839774,0.725363324,OFF-PEAK
0.21646676,0.006185396,0.866220454,OFF-PEAK
0.21646676,0.006185396,0.866220454,OFF-PEAK
0.141366047,0.006244077,0.566015516,OFF-PEAK
0.141366047,0.006244077,0.566015516,OFF-PEAK
0.123695291,0.008857814,0.496048158,OFF-PEAK
0.123695291,0.008857814,0.496048158,OFF-PEAK
0.132530669,0.006246164,0.530711113,OFF-PEAK
0.132530669,0.006246164,0.530711113,OFF-PEAK
0.185542937,0.008836113,0.743012875,OFF-PEAK
0.185542937,0.008836113,0.743012875,OFF-PEAK
0.203213693,0.008910549,0.813635818,OFF-PEAK
0.203213693,0.008910549,0.813635818,OFF-PEAK
0.132530669,0.008835859,0.531299549,OFF-PEAK
0.132530669,0.008835859,0.531299549,OFF-PEAK
0.163454492,0.006331752,0.654308331,OFF-PEAK
0.163454492,0.006331752,0.654308331,OFF-PEAK
0.17228987,0,0.68915948,OFF-PEAK
0.17228987,0,0.68915948,OFF-PEAK
0.181125248,0.005770173,0.724868543,OFF-PEAK
0.181125248,0.005770173,0.724868543,OFF-PEAK
0.201542258,0.310949946,1.482209975,OFF-PEAK
0.201542258,0.310949946,1.482209975,OFF-PEAK
2.370627543,1.086762037,10.43143455,OFF-PEAK
2.370627543,1.086762037,10.43143455,OFF-PEAK
-1.168316364,1.530099711,7.700564396,OFF-PEAK
-1.168316364,1.530099711,7.700564396,OFF-PEAK
0.263014863,2.721356154,10.9361464,OFF-PEAK
0.263014863,2.721356154,10.9361464,OFF-PEAK
-5.27658864,2.70892539,23.72531625,OFF-PEAK
-5.27658864,2.70892539,23.72531625,OFF-PEAK
-5.250082506,2.690397103,23.59715335,OFF-PEAK
-5.250082506,2.690397103,23.59715335,OFF-PEAK
-7.748412851,3.468812931,33.95775372,OFF-PEAK
-7.748412851,3.468812931,33.95775372,OFF-PEAK
-7.218290174,4.082115389,33.17043963,OFF-PEAK
-7.218290174,4.082115389,33.17043963,OFF-PEAK
-9.051080906,4.082066883,39.71605934,OFF-PEAK
-9.051080906,4.082066883,39.71605934,OFF-PEAK
-9.068751661,4.068705515,39.7585958,OFF-PEAK
-9.068751661,4.068705515,39.7585958,OFF-PEAK
-9.718757265,3.581330402,41.43045647,OFF-PEAK
-9.718757265,3.581330402,41.43045647,OFF-PEAK
-10.72599035,2.407656772,43.97156902,OFF-PEAK
-10.72599035,2.407656772,43.97156902,OFF-PEAK
-10.54982459,2.381184327,43.260853,OFF-PEAK
-10.54982459,2.381184327,43.260853,OFF-PEAK
-10.93858122,1.958826159,44.45034245,OFF-PEAK
-10.93858122,1.958826159,44.45034245,OFF-PEAK
-8.833005269,1.762928669,36.02885501,OFF-PEAK
-8.833005269,1.762928669,36.02885501,OFF-PEAK
